DATA,TMED,CHUVA
2023-01-01,23.865476190476187,11.700000000000001
2023-01-08,24.711309523809526,69.8
2023-01-15,25.175595238095237,37.3
2023-01-22,26.577976190476186,1.0
2023-01-29,25.97559523809524,69.8
2023-02-05,25.774404761904766,49.89999999999999
2023-02-12,25.137500000000003,17.2
2023-02-19,23.34166666666667,110.69999999999999
2023-02-26,24.76964285714286,8.299999999999999
2023-03-05,25.1630303030303,26.9
2023-03-12,25.501190476190477,47.599999999999994
2023-03-19,25.53988095238095,53.400000000000006
2023-03-26,24.241666666666667,8.799999999999999
2023-04-02,22.251785714285717,40.5
2023-04-09,23.12797619047619,49.599999999999994
2023-04-16,20.561904761904763,28.1
2023-04-23,21.31845238095238,13.3
2023-04-30,22.516071428571426,29.8
2023-05-07,19.960714285714285,0.3
2023-05-14,18.423809523809524,0.0
2023-05-21,21.551190476190477,2.6
2023-05-28,18.261904761904763,30.1
2023-06-04,20.547619047619047,0.0
2023-06-11,16.40892857142857,167.3
2023-06-18,17.633333333333333,9.5
2023-06-25,20.34658385093168,0.3
2023-07-02,18.84940476190476,17.5
2023-07-09,17.688095238095237,91.39999999999999
2023-07-16,16.798214285714288,7.5
2023-07-23,18.17738095238095,0.20000000000000007
2023-07-30,18.103571428571428,0.0
2023-08-06,18.770238095238092,38.0
2023-08-13,18.32934131736527,39.0
2023-08-20,18.195833333333333,35.4
2023-08-27,16.398809523809526,6.3
2023-09-03,19.34107142857143,14.8
2023-09-10,19.388690476190476,4.6
2023-09-17,21.942261904761907,10.799999999999999
2023-09-24,19.844047619047622,74.6
2023-10-01,18.613095238095237,195.89999999999998
2023-10-08,18.757553956834535,66.80000000000001
2023-10-15,19.379166666666666,41.8
2023-10-22,20.617857142857144,50.099999999999994
2023-10-29,21.381547619047616,110.3
2023-11-05,21.449404761904763,18.1
2023-11-12,23.05595238095238,94.4
2023-11-19,22.615476190476194,3.8000000000000065
2023-11-26,23.015476190476193,170.0
2023-12-03,23.982738095238094,66.2
2023-12-10,24.04642857142857,31.1
2023-12-17,26.453892215568864,0.0
2023-12-24,25.17012195121951,0.8999999999999999
